,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SUP,вит | Fatkid,1,,SUP,ROTN | Q,2,,SUP,ROTN | Xan,3,,Flex,ROTN | Klink,,,Checked In,49,,ROTN | Girth Brooks,,,,,,,0
,,,SUP,вит | TheeOne,1,,SUP,вит | Mike Litoris,2,,SUP,вит | I_NoScoped_JFK,3,,,,,,,,,вит | REAP,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,Commander,,,,WAMO,,,,Match Information,,,,Armor ,,,,,,,ROTN | Swift,,,,,,,1
,,,CMD,вит | Will b,TRUE,,SL,ROTN | Caono,TRUE,,Map,Omaha- All south,,,TC,ROTN | Ulfberht,TRUE,,,,,ROTN | Big Chonky,,,,,,,1
,,,Defense,,,,Inf,,FALSE,,Side,Allies,,,CM,ROTN | TwoCents,TRUE,,,,,вит | Comrade Grimm,,,,,,,1
,,,TL,ROTN | Lordbarst,TRUE,,Inf,,FALSE,,Opp.,Syndicate,,,CM,ROTN | LastLight,TRUE,,,,,ROTN | Krusader,,,,,,,1
,,,Inf,вит | Phat_Cheeks57,TRUE,,Inf,,FALSE,,,,,,TC,ROTN | R3dbeard,TRUE,,,,,ROTN | Klink,,,,,,,1
,,,Inf,,FALSE,,,,,,,,,,CM,ROTN | Ikea,TRUE,,,,,ROTN | Ulfberht,,,,,,,1
,,,Inf,,FALSE,,,,,,,,,,CM,ROTN | Corndog,TRUE,,,,,ROTN | Nerdy,,,,,,,1
,,,P1 Inf,вит | Tomato,TRUE,,,,,,,,,,TC,вит | Comrade Grimm,TRUE,,,,,вит | Rob491,,,,,,,1
,,15min late,P2 Inf,вит | Rob491,TRUE,,,,,,,,,,CM,вит | Eyzmin,TRUE,,,,,ROTN | R3dbeard,,,,,,,1
,,,P3 Inf,вит | REAP,TRUE,,,,,,,,,,CM,вит | SolarEclipse,TRUE,,,,,вит | I_NoScoped_JFK,,,,,,,1
,,,Probes,,,,,,,,,,,,,,,,,,,ROTN | Kayzo,,,,,,,0
,,,P1,ROTN | Big Chonky,TRUE,,,,,,,,,,,,,,,,,вит | MrKravs33,,,,,,,0
,,,P2,вит | Ventil8,TRUE,,,,,,,,,,,,,,,,,вит | Ventil8,,,,,,,1
,,,P3,ROTN | Nerdy,TRUE,,,,,,,,,,,,,,,,,вит | Eyzmin,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,вит | Rath,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,вит | Archytekk,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,вит | NutBender,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,ROTN | Exel,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,вит | Phat_Cheeks57,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,ROTN | Wurlstar,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,ROTN | Gatrick Swayze,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,вит | Zesty,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,ROTN | Corndog,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,вит | Tomato,,,,,,,1
,,,,,,,,Checklist for the Match:,,,,,,,,,,,,,,ROTN | LastLight,,,,,,,1
,,,,,,,TRUE,"Finish Macro (Edit 2-2, 3-2, 2-3 if needed, elsewise, it is finished)",,,,,,,,,,,,,,вит | mattijac01,,,,,,,0
,,,,,,,TRUE,Finish Micro (DeathVice will finish this up sometime Friday),,,,,,,,,,,,,,вит | Mike Litoris,,,,,,,1
,,,,,,,TRUE,Truck Routes (hopefully non-snipeable),,,,,,,,,,,,,,ROTN | Caono,,,,,,,1
,,,,,,,TRUE,Armor Prep,,,,,,,,,,,,,,ROTN | Mailbox,,,,,,,0
,,,,,,,TRUE,AT-gun / Rep Station / Buildable Prep,,,,,,,,,,,,,,ROTN | Xan,,,,,,,1
,,,,,,,TRUE,Finishing touches to the Roster ,,,,,,,,,,,,,,вит | Fatkid,,,,,,,1
,,,,,,,TRUE,MG Prep,,,,,,,,,,,,,,вит | Bonzoo,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,ROTN | AngeloDeLaMorte,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,ROTN | Alotta Bush,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,ROTN | Gangin,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,ROTN | J-walk-,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,ROTN | Bootysmasher69,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,ROTN | More Ghana,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,ROTN | HawkBH172,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,ROTN | Krombopulous_MYKL,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,ROTN | Vidar,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,ROTN | LordFarquaad,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,вит | Mccraith,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,ROTN | ApachiJR,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,ROTN | UndeadClown,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,вит | Ralfus,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,вит | SolarEclipse,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,вит | socklesscrocs,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,ROTN | Ikea,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,вит | Malum Caedo,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,ROTN | TwoCents,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,вит | Crazy_boots,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,вит | TheeOne,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,вит | Jizzbeard The Pirate ,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,ROTN | NooterzXD,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,вит | DeathVice,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,ROTN,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,BNT,,,,,,,0
